HoldingNo,Floor,BuildupSqft,ConstType,Usage,Occupancy,YearBuilt,ClosingYear,FloorARV,FloorTax
MUNG- 19412,Fourth Floor - 4,715,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 14307,Ground Floor - 0,1564,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 14307,First Floor - 1,782,RCC,Residential,self,,,,
MUNG- 21035,Ground Floor - 0,1450,RCC,Residential,self,,,,
MUNG- 21035,First Floor - 1,1450,RCC,Residential,self,,,,
MUNG- 21035,Second Floor - 2,1450,RCC,Residential,self,,,,
MUNG- 23670,Ground Floor - 0,819,RCC,Residential,self,,,,
MUNG- 23670,First Floor - 1,819,RCC,Residential,self,,,,
MUNG- 23670,Second Floor - 2,819,RCC,Residential,self,,,,
MUNG- 00976,Ground Floor - 0,77,RCC,shops(less than 250 sq ft),self,,,,
MUNG- 00976,Ground Floor - 0,770,RCC,Residential,self,,,,
MUNG- 00976,First Floor - 1,836,RCC,Residential,self,,,,
MUNG- 00976,Second Floor - 2,836,RCC,Residential,self,,,,
MUNG- 19413,Ground Floor - 0,715,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 19413,First Floor - 1,715,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 19413,Second Floor - 2,715,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 19413,Third Floor - 3,715,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 19413,Fourth Floor - 4,715,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 12590,Ground Floor - 0,2470.75,RCC,Residential,self,,,,
MUNG- 12590,First Floor - 1,1244.12,RCC,Residential,self,,,,
MUNG- 12590,Second Floor - 2,1244.12,RCC,Residential,self,,,,
MUNG- 16921,Ground Floor - 0,1697,RCC,Residential,self,,,,
MUNG- 16921,First Floor - 1,1480.5,RCC,Residential,self,,,,
MUNG- 16921,Second Floor - 2,204,RCC,Residential,self,,,,
MUNG- 17333,Ground Floor - 0,1912,RCC,Residential,self,,,,
MUNG- 17333,First Floor - 1,1560,RCC,Residential,self,,,,
MUNG- 13793,Ground Floor - 0,910,Asbestos,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 13793,Ground Floor - 0,2816,Asbestos,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 13793,First Floor - 1,1705,RCC,Residential,self,,,,
MUNG- 13793,First Floor - 1,1705,Asbestos,Residential,self,,,,
MUNG- 21202,Ground Floor - 0,646,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 21202,Ground Floor - 0,748,RCC,Residential,self,,,,
MUNG- 21202,First Floor - 1,1394,RCC,Residential,self,,,,
MUNG- 12886,Ground Floor - 0,280,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 12886,Ground Floor - 0,2882,RCC,Residential,self,,,,
MUNG- 12886,First Floor - 1,3162,RCC,Residential,self,,,,
MUNG- 11292,Ground Floor - 0,1230,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 11292,Ground Floor - 0,1681,RCC,Residential,self,,,,
MUNG- 11292,First Floor - 1,2911,RCC,Residential,self,,,,
MUNG- 08160,Ground Floor - 0,1815,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 02667,Ground Floor - 0,1050,RCC,Residential,self,,,,
MUNG- 02667,First Floor - 1,405,RCC,Residential,self,,,,
MUNG- 02667,Second Floor - 2,405,RCC,Residential,self,,,,
MUNG- 28244,Ground Floor - 0,1200,RCC,Residential,self,,,,
MUNG- 28244,First Floor - 1,1200,RCC,Residential,self,,,,
MUNG- 04832,Ground Floor - 0,1824,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 13293,Ground Floor - 0,2960,RCC,Residential,self,,,,
MUNG- 13293,First Floor - 1,2960,RCC,Residential,self,,,,
MUNG- 08188,Ground Floor - 0,3262,RCC,Residential,self,,,,
MUNG- 08188,Ground Floor - 0,1620,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 08188,First Floor - 1,4882,RCC,Residential,self,,,,
MUNG- 02978,Ground Floor - 0,1500,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 02978,First Floor - 1,1200,RCC,Residential,self,,,,
MUNG- 22658,Ground Floor - 0,2189,RCC,Residential,self,,,,
MUNG- 22658,First Floor - 1,1536,RCC,Residential,self,,,,
MUNG- 05227,Ground Floor - 0,3138,RCC,Residential,self,,,,
MUNG- 05227,Ground Floor - 0,390,RCC,any other,self,,,,
MUNG- 05227,Ground Floor - 0,130,Asbestos,any other,self,,,,
MUNG- 05227,First Floor - 1,3138,RCC,Residential,self,,,,
MUNG- 03103,Ground Floor - 0,2438,RCC,Residential,self,,,,
MUNG- 03103,Ground Floor - 0,1240,Asbestos,Residential,self,,,,
MUNG- 03103,Ground Floor - 0,451.56,Other,any other,rented,,,,
